ID,group,trial_number,trial_type,trial_role,token_opp,token_self,combined_earning,split_opp,split_self,splitperc_opp,splitperc_self,accept,accepted_amount,accepted_perc,proposed_perc,proposed_amount
1001,Control,1,1,1,2,2,12,10.8,1.2,90,10,0.0,0.0,0.0,,
1001,Control,2,2,1,2,3,15,9.75,5.25,65,35,0.0,0.0,0.0,,
1001,Control,3,1,1,2,2,12,9.0,3.0,75,25,0.0,0.0,0.0,,
1001,Control,4,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1001,Control,5,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1001,Control,6,2,2,2,3,15,7.5,7.5,50,50,,,,50.0,7.5
1001,Control,7,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1001,Control,8,3,1,2,1,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1001,Control,9,3,1,2,1,9,6.75,2.25,75,25,0.0,0.0,0.0,,
1001,Control,10,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1001,Control,11,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1001,Control,12,2,1,2,3,15,9.0,6.0,60,40,0.0,0.0,0.0,,
1001,Control,13,1,1,3,3,18,9.0,9.0,50,50,1.0,9.0,50.0,,
1001,Control,14,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1001,Control,15,2,1,1,2,9,6.75,2.25,75,25,0.0,0.0,0.0,,
1001,Control,16,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1001,Control,17,1,1,2,2,12,9.6,2.4,80,20,0.0,0.0,0.0,,
1001,Control,18,1,1,3,3,18,12.6,5.4,70,30,0.0,0.0,0.0,,
1001,Control,19,2,1,1,2,9,6.3,2.7,70,30,0.0,0.0,0.0,,
1001,Control,20,3,1,3,2,15,9.75,5.25,65,35,0.0,0.0,0.0,,
1001,Control,21,2,1,2,3,15,13.5,1.5,90,10,0.0,0.0,0.0,,
1001,Control,22,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1001,Control,23,3,2,3,2,15,7.5,7.5,50,50,,,,50.0,7.5
1001,Control,24,3,1,3,2,15,12.0,3.0,80,20,0.0,0.0,0.0,,
1001,Control,25,3,1,2,1,9,6.3,2.7,70,30,0.0,0.0,0.0,,
1001,Control,26,3,1,3,2,15,9.75,5.25,65,35,0.0,0.0,0.0,,
1001,Control,27,1,1,1,1,6,3.6,2.4,60,40,0.0,0.0,0.0,,
1001,Control,28,3,1,2,1,9,5.4,3.6,60,40,0.0,0.0,0.0,,
1001,Control,29,2,1,1,2,9,7.2,1.8,80,20,0.0,0.0,0.0,,
1001,Control,30,3,1,2,1,9,6.3,2.7,70,30,0.0,0.0,0.0,,
1001,Control,31,2,1,1,2,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1001,Control,32,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1001,Control,33,2,1,2,3,15,11.25,3.75,75,25,0.0,0.0,0.0,,
1001,Control,34,2,1,1,2,9,5.4,3.6,60,40,0.0,0.0,0.0,,
1001,Control,35,1,1,1,1,6,4.8,1.2,80,20,0.0,0.0,0.0,,
1001,Control,36,1,1,2,2,12,7.8,4.2,65,35,0.0,0.0,0.0,,
1001,Control,37,1,1,2,2,12,7.8,4.2,65,35,0.0,0.0,0.0,,
1001,Control,38,3,1,3,2,15,9.0,6.0,60,40,0.0,0.0,0.0,,
1001,Control,39,1,1,1,1,6,4.2,1.8,70,30,0.0,0.0,0.0,,
1001,Control,40,1,2,1,1,6,3.0,3.0,50,50,,,,50.0,3.0
1001,Control,41,1,1,3,3,18,13.5,4.5,75,25,0.0,0.0,0.0,,
1001,Control,42,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1001,Control,43,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1001,Control,44,1,2,1,1,6,3.0,3.0,50,50,,,,50.0,3.0
1001,Control,45,2,1,1,2,9,6.3,2.7,70,30,0.0,0.0,0.0,,
1001,Control,46,3,1,3,2,15,13.5,1.5,90,10,0.0,0.0,0.0,,
1001,Control,47,2,1,2,3,15,9.75,5.25,65,35,0.0,0.0,0.0,,
1001,Control,48,3,1,3,2,15,11.25,3.75,75,25,0.0,0.0,0.0,,
1001,Control,49,2,1,2,3,15,12.0,3.0,80,20,0.0,0.0,0.0,,
1001,Control,50,1,1,2,2,12,7.2,4.8,60,40,0.0,0.0,0.0,,
1001,Control,51,3,1,2,1,9,7.2,1.8,80,20,0.0,0.0,0.0,,
1002,Control,1,2,1,2,3,15,9.0,6.0,60,40,1.0,6.0,40.0,,
1002,Control,2,2,1,2,3,15,11.25,3.75,75,25,1.0,3.75,25.0,,
1002,Control,3,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1002,Control,4,2,1,2,3,15,13.5,1.5,90,10,0.0,0.0,0.0,,
1002,Control,5,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1002,Control,6,1,1,2,2,12,9.0,3.0,75,25,0.0,0.0,0.0,,
1002,Control,7,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1002,Control,8,2,1,1,2,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1002,Control,9,2,1,1,2,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1002,Control,10,2,2,1,2,9,4.5,4.5,50,50,,,,30.0,2.7
1002,Control,11,3,1,3,2,15,13.5,1.5,90,10,0.0,0.0,0.0,,
1002,Control,12,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1002,Control,13,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1002,Control,14,3,1,3,2,15,12.0,3.0,80,20,0.0,0.0,0.0,,
1002,Control,15,1,1,1,1,6,4.2,1.8,70,30,0.0,0.0,0.0,,
1002,Control,16,1,1,3,3,18,12.6,5.4,70,30,1.0,5.4,30.0,,
